hour,activated_up,activated_dn,reserve_up,reserve_dn,act_pct_up,act_pct_dn,price_up_eur_mwh,price_dn_eur_mwh,spot_eur_mwh
2026-03-03T00:00,0.2,236.6,4200,4400,0.0048,5.3773,98.21,-7.69,120.75
2026-03-03T01:00,94.7,59.3,4400,4400,2.1523,1.3477,235.88,11.55,137.64
2026-03-03T02:00,22.7,119.8,4000,4000,0.5675,2.995,147.01,5,116.78
2026-03-03T03:00,30.1,3.4,4000,4000,0.7525,0.085,88.06,26.5,97.1
2026-03-03T04:00,101.1,20.3,4000,4000,2.5275,0.5075,159.94,8.63,92
2026-03-03T05:00,0.5,133.6,4000,4000,0.0125,3.34,39.55,-24.5,92
2026-03-03T06:00,0,481.7,4100,4000,0,12.0425,45.26,-518.78,101.16
2026-03-03T07:00,18.4,266.4,4800,4600,0.3833,5.7913,156.14,-533.68,120.79
2026-03-03T08:00,85.9,161.4,5000,4900,1.718,3.2939,150.89,-7.68,142.17
2026-03-03T09:00,219.7,19,5800,5800,3.7879,0.3276,222.28,37.33,137.19
2026-03-03T10:00,248.3,9.2,5800,5800,4.281,0.1586,211.83,34.4,91.29
2026-03-03T11:00,109.4,44,5500,5500,1.9891,0.8,75.72,-6.89,27.76
2026-03-03T12:00,7.8,431.2,5200,5200,0.15,8.2923,25.19,-60.07,13.52
2026-03-03T13:00,214,34.2,5200,5200,4.1154,0.6577,76.65,2.05,7.67
2026-03-03T14:00,252.6,17.9,5200,5200,4.8577,0.3442,42.12,4.05,4.75
2026-03-03T15:00,207.8,58.2,5200,5200,3.9962,1.1192,99.48,-0.62,4.15
2026-03-03T16:00,366.9,37.4,5200,5200,7.0558,0.7192,358.34,4.16,3.73
2026-03-03T17:00,81.1,46,5350,5350,1.5159,0.8598,76.67,-3,12.24
2026-03-03T18:00,63.6,111.5,6000,6000,1.06,1.8583,221.7,-8.63,51.35
2026-03-03T19:00,233.5,9.8,5950,5950,3.9244,0.1647,354.88,80.08,148.46
2026-03-03T20:00,78.9,152.2,4900,4900,1.6102,3.1061,359.02,188.25,348.25
2026-03-03T21:00,1.5,143,4800,4800,0.0312,2.9792,340.18,237.76,373.39
2026-03-03T22:00,9.5,73.7,4300,4400,0.2209,1.675,258.42,133.49,249.32
2026-03-03T23:00,9,68.4,4000,4400,0.225,1.5545,206.09,129.27,211.65
2026-03-04T00:00,6.3,76.7,4200,4400,0.15,1.7432,171.54,59.14,144.96
2026-03-04T01:00,8,72.8,4400,4400,0.1818,1.6545,273.27,103.08,256.3
2026-03-04T02:00,54.7,107.3,4000,4000,1.3675,2.6825,228.19,37.11,205.1
2026-03-04T03:00,5.4,192.5,4000,4000,0.135,4.8125,155.88,22.36,170.24
2026-03-04T04:00,96.1,12.9,4000,4000,2.4025,0.3225,299.07,91.89,155.51
2026-03-04T05:00,13.4,20.2,4000,4000,0.335,0.505,191.41,81.39,149.14
2026-03-04T06:00,165.5,21.2,4100,4000,4.0366,0.53,322.88,54.81,170.6
2026-03-04T07:00,5.7,74.4,4800,4600,0.1187,1.6174,234.3,84.6,175.77
2026-03-04T08:00,76.8,23.7,5000,4900,1.536,0.4837,427.33,174.59,316.36
2026-03-04T09:00,125.1,16.4,5800,5800,2.1569,0.2828,423.49,214.64,288.85
2026-03-04T10:00,110.9,15.6,5800,5800,1.9121,0.269,554.41,120.9,184.94
2026-03-04T11:00,220.9,9,5500,5500,4.0164,0.1636,260.23,63.66,112.72
2026-03-04T12:00,145.8,255.6,5200,5200,2.8038,4.9154,120.02,-39.1,69.09
2026-03-04T13:00,329.1,2.5,5200,5200,6.3288,0.0481,176.09,8.25,29.53
2026-03-04T14:00,755.8,0,5200,5200,14.5346,0,990.35,28.04,23.98
2026-03-04T15:00,445.6,0,5200,5200,8.5692,0,326.42,49.84,38.4
2026-03-04T16:00,271.8,1.4,5200,5200,5.2269,0.0269,249.51,8.65,70.61
2026-03-04T17:00,155.5,14.9,5350,5350,2.9065,0.2785,495.1,31.29,68.28
2026-03-04T18:00,77.5,34.5,6000,6000,1.2917,0.575,495,58.84,174.79
2026-03-04T19:00,19.4,0.2,5950,5950,0.3261,0.0034,359,267.36,375.87
2026-03-04T20:00,39.9,8,4900,4900,0.8143,0.1633,662.4,379.17,707.94
2026-03-04T21:00,91.9,19.3,4800,4800,1.9146,0.4021,610.82,326.67,654.62
2026-03-04T22:00,119.8,4.2,4300,4400,2.786,0.0955,729.87,218.92,393.39
2026-03-04T23:00,24,173.6,4000,4400,0.6,3.9455,351.78,-291.06,331.83
2026-03-05T00:00,0,209.1,4200,4400,0,4.7523,112.65,-31.99,300.96
